01,1181
02,1277
03,1261
04,1439
05,1280
06,1268
07,1257
08,1433
09,1416
10,1278
11,1125
11,1396
12,1251
13,1387
14,1463
15,1133
16,1295
16,1300
01,1211
02,1276
03,1403
04,1199
05,1266
06,1138
07,1305
08,1393
09,1124
10,1196
11,1113
11,1385
12,1293
13,1436
14,1297
15,1285
16,1192
16,1341
01,1314
02,1246
03,1222
04,1242
05,1120
06,1235
07,1459
08,1429
09,1449
10,1371
11,1326
12,1308
13,1318
14,1209
15,1101
16,1233
01,1438
02,1397
03,1345
04,1243
05,1458
06,1437
07,1153
08,1279
09,1328
10,1234
11,1388
12,1332
13,1414
14,1330
15,1159
16,1205
