1243,1448
1291,1309
1413,1300
1425,1344
1112,1315
1139,1457
1196,1190
1199,1195
1211,1355
1235,1305
1292,1278
1321,1435
1323,1343
1345,1436
1388,1433
1437,1291
1438,1423
1452,1137
1458,1439
1462,1268
1116,1371
1124,1308
1153,1243
1181,1407
1242,1413
1246,1297
1257,1240
1276,1329
1277,1274
1314,1411
1332,1233
1348,1166
1376,1266
1417,1245
1425,1374
1455,1173
1112,1388
1139,1292
1196,1438
1211,1321
1345,1235
1452,1323
1458,1437
1462,1199
1124,1425
1242,1277
1246,1455
1276,1257
1314,1116
1332,1348
1376,1181
1417,1153
1211,1452
1242,1345
1332,1276
1462,1112
1196,1458
1246,1417
1314,1139
1376,1124
1211,1462
1332,1242
1314,1246
1376,1196
1211,1376
1314,1332
1314,1211
